,Image_Link,Actor Name,Twitter Handle
79,https://pbs.twimg.com/profile_images/1195973689650679808/aPwcVKnn_400x400.jpg,Ileana D'Cruz,@Ileana_Official
80,https://pbs.twimg.com/profile_images/581029195012186112/DqdlVzGH_400x400.jpg,Paresh Rawal,@SirPareshRawal
81,https://pbs.twimg.com/profile_images/1132927567273627654/TxuF60JI_400x400.jpg,Ranganathan Madhavan,@ActorMadhavan
82,https://pbs.twimg.com/profile_images/1252179275605618689/P6Oovc50_400x400.jpg,Neha Dhupia,@NehaDhupia
83,https://pbs.twimg.com/profile_images/1234365719715799040/1GITHeOP_400x400.jpg,Akhil Akkineni,@AkhilAkkineni8
84,https://pbs.twimg.com/profile_images/1183298758273945601/tZ56sEaA_400x400.jpg,Varun Tej Konidela 🥊,@IAmVarunTej
85,https://pbs.twimg.com/profile_images/1207298756799946753/EKTS301R_400x400.jpg,Udhay,@Udhaystalin
86,https://pbs.twimg.com/profile_images/861934685802377216/vX4Du1z8_400x400.jpg,Prabhudheva,@PDdancing
87,https://pbs.twimg.com/profile_images/1181099806728474624/Rkd1eoeQ_400x400.jpg,Nayanthara✨,@NayantharaU
88,https://pbs.twimg.com/profile_images/1217416019657912323/GbUHmfm7_400x400.jpg,Vijay,@actorvijay
89,https://pbs.twimg.com/profile_images/1131498769457922049/_woSDupI_400x400.jpg,Athiya Shetty,@theathiyashetty
90,https://pbs.twimg.com/profile_images/624520958032875520/RRODM_xc_400x400.jpg,Emraan Hashmi,@emraanhashmi
91,https://pbs.twimg.com/profile_images/1208724287017717761/NDT5r_8K_400x400.jpg,Kichcha Sudeepa,@KicchaSudeep
92,https://pbs.twimg.com/profile_images/861299957751480320/nKKaUDfb_400x400.jpg,Konkona Sensharma,@konkonas
93,https://pbs.twimg.com/profile_images/1192442872156450816/ebi0QNFm_400x400.jpg,Priya Anand,@PriyaAnand
94,https://pbs.twimg.com/profile_images/921700493616857088/14ihjHfJ_400x400.jpg,Jiiva,@JiivaOfficial
95,https://pbs.twimg.com/profile_images/1017698378220736512/gFO4OYTO_400x400.jpg,Irrfan,@irrfank
96,https://pbs.twimg.com/profile_images/1200268980599971840/9AUVffzi_400x400.jpg,Vivek Anand Oberoi,@vivekoberoi
97,https://pbs.twimg.com/profile_images/1236620042751508480/881Du3x0_400x400.jpg,Arshad Warsi,@ArshadWarsi
98,https://pbs.twimg.com/profile_images/1189100084798951429/WwYlODFV_400x400.jpg,RAm POthineni,@ramsayz
99,https://pbs.twimg.com/profile_images/879234663587475457/luO68Wok_400x400.jpg,Soha Ali Khan,@sakpataudi
100,https://pbs.twimg.com/profile_images/1222273381657194496/CwS8nu0x_400x400.jpg,Elisabet Elli AvrRam,@ElliAvrRam
101,https://pbs.twimg.com/profile_images/1172407531425021952/sICBR_wC_400x400.jpg,Vikram Prabhu,@iamVikramPrabhu
102,https://pbs.twimg.com/profile_images/917431263551565824/fCDyXoLk_400x400.jpg,Sanjay Dutt,@duttsanjay
103,https://pbs.twimg.com/profile_images/1020639297727225856/l61djAed_400x400.jpg,Amala Paul ⭐️,@Amala_ams
104,https://pbs.twimg.com/profile_images/826429978887598080/CDykn4hW_400x400.jpg,chaitanya akkineni,@chay_akkineni
105,https://pbs.twimg.com/profile_images/1216259178324344833/_Gq75aP3_400x400.jpg,Raveena Tandon,@TandonRaveena
106,https://pbs.twimg.com/profile_images/1225744586850439169/sa3T2mct_400x400.jpg,Sai Dharam Tej,@IamSaiDharamTej
107,https://pbs.twimg.com/profile_images/1156815363717255168/YAD66_aE_400x400.jpg,Jennifer Winget,@jenwinget
108,https://pbs.twimg.com/profile_images/3155003928/bf62cf2119a909d1fafd5c0ee11ef421_400x400.jpeg,Rahul Bose,@RahulBose1
109,https://pbs.twimg.com/profile_images/1017125638149496832/c0NjGg0H_400x400.jpg,Katrina Kaif Online,@KatrinaKaifFB
110,https://pbs.twimg.com/profile_images/3659108919/117960084bd1915a1e4c202e491b55c6_400x400.jpeg,dulquer salmaan,@dulQuer
111,https://pbs.twimg.com/profile_images/1217357606458540032/pEB4Ox1-_400x400.jpg,Gautam Gulati 🇮🇳,@TheGautamGulati
112,https://pbs.twimg.com/profile_images/1147957685540855811/wmv2aQk9_400x400.jpg,RAAI LAXMI,@iamlakshmirai
113,https://pbs.twimg.com/profile_images/1248616929863954434/jA8pjzsp_400x400.jpg,Sathish,@actorsathish
114,https://pbs.twimg.com/profile_images/866982418842083328/3jA_AId1_400x400.jpg,Gautam Rode,@gautam_rode
115,https://pbs.twimg.com/profile_images/1010877361007587329/WC85pWi-_400x400.jpg,Biswa Kalyan Rath,@kalyanrath
116,https://pbs.twimg.com/profile_images/1047169867248541696/w3sbUdAh_400x400.jpg,Kareena Kapoor Khan,@KareenaOnline
117,https://pbs.twimg.com/profile_images/1172402203404824577/QS8J-nVO_400x400.jpg,Sapan Verma,@sapanv
118,https://pbs.twimg.com/profile_images/1196673388216905731/w7S7RNah_400x400.jpg,Neil Nitin Mukesh,@NeilNMukesh
119,https://pbs.twimg.com/profile_images/1253315659548602368/-rsex-PV_400x400.jpg,ArunVijay,@arunvijayno1
120,https://pbs.twimg.com/profile_images/1251081456358547457/nyTrp75t_400x400.jpg,VISHNU VISHAL - stay home stay safe,@TheVishnuVishal
121,https://pbs.twimg.com/profile_images/1217467677683240961/gT3eugRO_400x400.jpg,Arbaaz Khan,@arbaazSkhan
122,https://pbs.twimg.com/profile_images/914755374640533504/LG4uaWV9_400x400.jpg,Neha Sharma,@Officialneha
123,https://pbs.twimg.com/profile_images/1251043230554054658/4X4-c-wn_400x400.jpg,Radhakrishnan Parthiban,@rparthiepan
124,https://pbs.twimg.com/profile_images/1153966101547536385/Ed-2dX2H_400x400.jpg,Actor Soori,@sooriofficial
125,https://pbs.twimg.com/profile_images/1213011587620933632/r9JIMJRb_400x400.jpg,Lakshmi Manchu,@LakshmiManchu
126,https://pbs.twimg.com/profile_images/1173494432877797376/IUwO2dIH_400x400.jpg,Allu Sirish,@AlluSirish
127,https://pbs.twimg.com/profile_images/1186540631486844929/GvUSSmc-_400x400.jpg,Nivin Pauly,@NivinOfficial
128,https://pbs.twimg.com/profile_images/842275609434808321/5up11583_400x400.jpg,Uday Chopra,@udaychopra
129,https://pbs.twimg.com/profile_images/1034228984223944704/GWSj6Wd7_400x400.jpg,Abish Mathew,@abishmathew
130,https://pbs.twimg.com/profile_images/1224933755598491650/phzAkPd7_400x400.jpg,Radikaa Sarathkumar,@realradikaa
131,https://pbs.twimg.com/profile_images/1188356977744736257/psLsRi7a_400x400.jpg,MM*🙏🏻❤️,@HeroManoj1
132,https://pbs.twimg.com/profile_images/1218075202984169472/LlNQvmWF_400x400.jpg,arvind swami,@thearvindswami
133,https://pbs.twimg.com/profile_images/1185535851079426054/kaQpoaSM_400x400.jpg,Actor Karthi,@Karthi_Offl
134,https://pbs.twimg.com/profile_images/1226875599265751043/J4SR0eiw_400x400.jpg,Diana Penty,@DianaPenty
135,https://pbs.twimg.com/profile_images/1188877213476642816/yOSSEjxR_400x400.jpg,Srabanti,@srabantismile
136,https://pbs.twimg.com/profile_images/1213135512669581312/pu-axbBR_400x400.jpg,Allari Naresh,@allarinaresh
137,https://pbs.twimg.com/profile_images/1242787970924634112/mcuWsmPL_400x400.jpg,Shanthnu 🌟 ஷாந்தனு Buddy,@imKBRshanthnu
138,https://pbs.twimg.com/profile_images/1079990781136449536/Bv3-mKWX_400x400.jpg,Sumona Chakravarti,@sumona24
139,https://pbs.twimg.com/profile_images/790986625056591872/_ue-djrg_400x400.jpg,Prachi Desai,@ItsPrachiDesai
